Unnamed: 0,disease,symptoms
448,Kidney Stones,"severe pain, pain below the ribs, pain that radiates to the lower abdomen, groin, pain that comes in waves, fluctuates in intensity, pain or burning sensation while urinating, pink urine, blood in your urine, chills, fever, nausea, red or brown urine, cloudy urine, foul-smelling urine, a persistent need to urinate, sharp pain in the side, back, shifting pain, increasing pain, urinating more often than usual, urinating in small amounts, vomiting"
449,Kleptomania,"inability to resist powerful urges to steal items that you don't need, feeling increased tension, anxiety, arousal leading up to the theft, feeling pleasure, feeling terrible guilt, remorse, self-loathing, shame, fear of arrest, return of the urges, repetition of the kleptomania cycle"
450,Klinefelter Syndrome,"crawl, walk delay in speaking, problems at birth, delayed or incomplete puberty, firm testicles, small penis, enlarged breast tissue (gynecomastia), weak bones, low energy levels, tendency to be shy, sensitive, difficulty expressing thoughts, feelings or socializing, problems with reading, less muscle, less facial, body hair, small shorter torso, broader hips, absent, spelling or math, low sperm count or no sperm, low sex drive, taller than average height, decreased facial, body hair, less muscular, increased belly fat, testicles that haven't descended into the scrotum, taller than average stature, longer legs, weak muscles, slow motor development — taking longer than average to sit up, writing"
451,Klippel Trenaunay,"spongy tissue filled with small veins in or under the skin, malformed veins, overgrowth of bones, soft tissue, glaucoma, hip dislocation at birth, purple-red skin coloring when cold, blood-clotting problems, fusion of fingers or toes, extra fingers or toes, lymphatic system malformations, fluid leakage into the tissues, swelling, cataracts, twisted veins (varicose veins), port-wine stain, swollen"
452,Knee Pain,"swelling, stiffness, redness, warmth to the touch, weakness, instability, popping noises, crunching noises, inability to fully straighten the knee"
453,Kyphosis,"back pain, stiffness"
454,Lactose Intolerance,"diarrhea, nausea, vomiting, stomach cramps, bloating, gas"
455,Laryngitis,"hoarseness, weak voice, voice loss, tickling sensation, rawness in your throat, sore throat, dry throat, dry cough"
456,Latex Allergy,"difficulty breathing, hives or swelling, nausea, vomiting, wheezing, drop in blood pressure, dizziness, loss of consciousness, confusion, rapid or weak pulse, itching, skin redness, hives or rash, sneezing, runny nose, itchy watery eyes, scratchy throat, cough"
457,Lazy Eye,"an eye that wanders inward or outward, eyes that appear to not work together, poor depth perception, squinting or shutting an eye, head tilting"
458,Lead Poisoning,"developmental delay, learning difficulties, irritability, loss of appetite, weight loss, sluggishness, fatigue, abdominal pain, vomiting, constipation, hearing loss, seizures, high blood pressure, joint, muscle pain, difficulties with memory or concentration, headache, mood disorders, reduced sperm count, abnormal sperm, miscarriage, stillbirth or premature birth, lower birth weight, slowed growth"
459,Left Ventricular Hypertrophy,"palpitations, fainting, lightheadedness, shortness of breath, swelling of the legs, chest pain, fluttering or pounding heartbeats, rapid"
460,Legionnaires Disease,"headache, muscle aches, fever, chills, nausea, vomiting, diarrhea, confusion, cough, shortness of breath, chest pain"
461,Leukoplakia,"creamy white patches that can be wiped away, red lesions, red or dark patches in your mouth, persistent changes in the tissues of your mouth, ear pain when swallowing, progressive reduction in the ability to open your jaw, white plaques or sores in your mouth that don't heal on their own, lumps, fuzzy white patches that resemble folds or ridges, white or grayish patches that can't be wiped away, irregular or flat-textured patches, thickened or hardened areas, raised patches"
462,Lewy Body Dementia,"visual hallucinations, hallucinations, dizziness, falls, kicking, disorganized speech, depression, apathy, long periods of staring into space, loss of bladder control, urinary incontinence, constipation, cognitive problems, poor attention, rigid muscles, olfactory hallucinations, tactile hallucinations, slowed movement, sweating, orthostatic hypotension, tremor, shuffling walk, blood pressure, visual-spatial problems, memory loss, rapid eye movement sleep behavior disorder, punching, yelling, screaming, drowsiness"
463,Lice,"intense itching, tickling feeling, presence of lice, red bumps, bite marks, lice eggs, sores"
464,Lichen Planus,"itching, blisters, scabs, crusts, painful sores, hair loss, nail damage, flat bumps"
465,Lichen Sclerosus,"discolored skin, blistering or open sores, painful sex, blotchy patches of skin, itching, soreness or a burning feeling, easy bruising, fragile skin, changes in the tube for urine flow (urethra), bleeding"
466,Lip Cancer,"tingling, pain, numbness"
467,Lipoma,painful
468,Liposarcoma,"growing lump of tissue under your skin, pain, swelling, weakness of the affected limb, abdominal pain, abdominal swelling, feeling full sooner when eating, constipation, blood in stool"
469,Liver Cancer,"losing weight without trying, loss of appetite, upper abdominal pain, nausea, vomiting, general weakness, fatigue, abdominal swelling, yellow discoloration of your skin, jaundice, chalky stools"
470,Liver Hemangioma,"pain in the upper right abdomen, feeling full after eating only a small amount of food (early satiety), nausea, vomiting"
471,Long Qt Syndrome,"blurred vision, lightheadedness, pounding heartbeats, palpitations, weakness, fainting, seizures"
472,Low Blood Pressure,"blurred or fading vision, dizziness or lightheadedness, fainting, fatigue, trouble concentrating, nausea, confusion, clammy skin, decrease in skin coloration (pallor), rapid, cold, shallow breathing, weak, rapid pulse"
473,Low Sex Drive In Women,no interest in any type of sexual activity
474,Low Sperm Count,"inability to conceive a child, low sex drive, difficulty maintaining an erection, erectile dysfunction, pain, swelling, lump in the testicle area, decreased facial or body hair"
475,Lung Cancer,"new cough that doesn't go away, coughing up blood, shortness of breath, chest pain, hoarseness, losing weight without trying, bone pain, headache"
476,Lupus Nephritis,"blood in your urine, foamy urine, high blood pressure, swelling in your hands, ankles or feet, high levels of a waste product called creatinine in your blood"
477,Lymphedema,"swelling in an arm or a leg, a feeling of heaviness or tightness, restricted range of motion, recurring infections, hardening, thickening of the skin (fibrosis)"
478,Lymphoma,"swollen lymph nodes, persistent fatigue, fever, night sweats, shortness of breath, unexplained weight loss, itchy skin"
479,Malaria,"acts as if ""driven by a motor"", abdominal cramps, abdominal distention, abnormal urine color, acts out with intense tantrums, anxiety, be shy in social situations out of fear of doing something wrong, be very sensitive to sight, be very upset when routines are changed, bladder or bowel problems, blood in the stool, blood pressure drop with position that causes dizziness when standing, bluish skin, blurred vision, blurts out answers before questions have been completed, bone pain or tenderness, breath odor, metallic taste in the mouth, breathing difficulty when asleep, breathing difficulty when lying flat, can't start or maintain a conversation, chills, clammy skin, clay-colored stools, confusion, constipation, cough, curvature of nails accompanied by soft tissue swelling (clubbing) of the fingers, decreased urine output, dehydration, develops language slowly or not at all, difficulty beginning to urinate, difficulty breathing, difficulty swallowing liquids, solids, doesn't adjust gaze to look at objects that others are looking at, doesn't follow through on instructions, doesn't finish schoolwork or chores, doesn't imitate the actions of others, doesn't listen when spoken to directly, doesn't make friends, doesn't pay attention to details or makes careless mistakes, doesn't play interactive games, doesn't point to show other people objects, doesn't refer to self the right way, doesn't startle at loud noises, dry mouth, dry skin, easy bruising, bleeding, enlarged lymph nodes, excessive blinking, excessive sweating, excessive thirst, fainting/drowsiness, fast or irregular heartbeat, fatigue(feeling tired), feeling full after only a few bites, feeling of incomplete bladder emptying, fever-- usually low-grade, fidgets or squirms in seat, fingers that change color upon pressure or with cold or stress, foul-smelling discharge, gets stuck on a single topic or task, glassy or sunken eyes, goosebumps, grimaces of the face, has a short attention span, has problems awaiting their turn, has problems focusing during tasks or play, has problems organizing tasks, activities, has problems playing or working quietly, has very high or very low senses of sight, headache, high blood pressure, hold the view they are not good socially, i have a fever, i have a high fever, i have a really high fever, i have been feeling nauseous, my muscles are sore., i have been nauseous, my muscles hurt., i'm experiencing a high fever, i'm really sick. i have a fever, i've been experiencing a high fever, i've been experiencing a lot of itching, i've been feeling feverish, chilly for a few days. i've also been sweating a lot, have a headache. my muscles are aching, i'm feeling nauseous., i've been feeling really hot, sweaty, i've been feeling really itchy all over my body, i've been feeling really sick for the past few days. i have a high fever, i've been feeling really sick for the past few days. i've had a high fever, i've been feeling really sick lately. i have a high fever, i've been feeling really sick lately. i've been having a high fever, i've been feeling really sick lately. i've had a fever, i've been feeling really sick. i have a high fever, i've been feeling really sick. i've been scratching a lot, i've been feeling really sick. i've had a fever, i've been feeling really unwell, have been scratching a lot. i have a high fever, i've been feeling really unwell. i have a headache, i've been feeling really unwell. i have a high fever, i've been feeling very sick. i have a high fever, i've been having a fever, i've been having a fever for a few days, i've been having a fever for a few days now, i've been having a high fever, i've been having a really high fever, i've been having chills, i've had a high fever, inability to digest certain foods, incoordination, infections that keep coming back (recur), interrupts or intrudes on others, irregular heartbeat, is aggressive toward others or self, is often ""on the go, is overactive or very passive, is withdrawn from social activity, isn't able to show empathy, itching, joint pain, lack of tears, leaking urine, leaves their seat when they should stay in their seat, lethargy, loss of appetite, malaise(general discomfortness, may find normal noises painful, hold their hands over their ears, may have a very high or very low response to pain, may not respond to eye contact or smiles, may treat others as objects, may withdraw from physical contact because it's too stimulating or overwhelming, muscle spasms, muscle twitching, nasal congestion, nausea, vomiting, numbness, tingling of hands or feet, often loses things, other rashes on the head of the penis, pain in the abdomen, pain in the right upper or middle upper abdomen for at least 30 minutes, pain in the right upper part of the abdomen, pain that spreads to your back or below your right shoulder blade, painful penis, foreskin, pain on the upper right side or upper middle part of the abdomen, palpitations, persistent hiccups, pressure under the lower left ribs from a swollen spleen, problems controlling bowel movements, problems walking due to weakness or lack of feeling in the feet, quick movements of the arms, rash, redness of foreskin or penis, repeat body movements over, over, repeats body movements, repeats words or memorized passages, rubs surfaces, runs about or climbs when they shouldn't be doing so, sensation changes, sharp, shortness of breath, shortness of breath that gets worse with activity, shows a strong need for things being the same, shows little pretend or imaginative play, sounds (grunts, swelling of abdomen, symptoms due to embolism of tumor material, talks all the time, throbbing headache, trouble using the arms, hands or legs, feet due to weakness, unintentional weight loss, unusual sleepiness or tiredness, uses gestures instead of words, yellow skin or eyes, yellowing of skin, whites of the eyes (jaundice), a high temperature, cramp-like, cramping, dark urine, despite treatment, diarrhea, diarrhoea, excessive sweating, fever, flushed (red) skin above the level of the spinal cord injury, followed by a high fever, followed by sweating, a return to normal temperature, general swelling, headache, high_fever, ill feeling or uneasiness, pain, reluctance to become involved with people, severe itching, slow or fast pulse, small pinpoint red marks on the skin (petechiae), throat clearing, tingling, vomiting, weakness"
